dist,2,3,5,6,7,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,39,40,41,42,44,45,46,48,49,50,52,53,54,55,56,57,58,59,60,61,62,63,65,66,67,70,71,72,73,74,75,76,80,26a,26b,38a,38b,47a,47b,8a,8b
2,0,17,2,8,6,192,60,17,5,3,9,15,2,9,20,12273,63,14,1941,14,16,15,11,16,826,15,3,15,15,15,16,109,15,19,38,5,188,12767,849,12,12,17,4,37,33,14,8,10,13,11,15,11,12,13721,23,2,16,16,16,8,16,26,41,16,15,15,16,27,27,70,12770
3,17,0,17,13,19,187,73,0,16,16,18,20,15,14,25,12278,58,9,1946,9,11,10,20,11,831,10,18,10,20,10,11,104,10,14,43,18,193,12772,854,17,25,0,17,42,36,17,11,13,18,16,10,16,15,13726,28,17,11,11,11,21,11,31,54,11,10,10,11,32,32,75,12775
5,2,17,0,8,6,192,60,17,5,3,9,15,2,9,20,12273,63,14,1941,14,16,15,11,16,826,15,1,15,15,15,16,109,15,19,38,5,188,12767,849,12,12,17,4,37,33,14,8,10,13,11,15,11,12,13721,23,0,16,16,16,8,16,26,41,16,15,15,16,27,27,70,12770
6,8,13,8,0,10,188,64,13,7,7,9,11,6,5,16,12269,59,10,1937,10,12,11,11,12,822,11,9,11,11,11,12,105,11,15,34,9,184,12763,845,8,16,13,8,33,29,10,4,6,9,7,11,7,8,13717,19,8,12,12,12,12,12,22,45,12,11,11,12,23,23,66,12766
7,6,19,6,10,0,194,62,19,7,3,11,17,4,11,22,12275,65,16,1943,16,18,17,13,18,828,17,7,17,17,17,18,111,17,21,40,7,190,12769,851,14,14,19,6,39,35,16,10,12,15,13,17,13,14,13723,25,6,18,18,18,10,18,28,43,18,17,17,18,29,29,72,12772
9,192,187,192,188,194,0,248,187,191,191,193,195,190,189,200,12452,233,184,2120,180,182,181,195,182,1006,181,193,181,195,181,182,275,181,185,218,193,368,12946,1029,192,200,187,192,217,211,192,186,188,193,191,181,191,190,13900,203,192,182,182,182,196,182,206,229,182,181,181,182,207,207,250,12949
11,60,73,60,64,62,248,0,73,61,59,65,71,58,65,76,12329,119,70,1997,70,72,71,67,72,882,71,61,71,71,71,72,165,71,75,94,61,244,12823,905,68,68,73,60,93,89,70,64,66,69,67,71,67,68,13777,79,60,72,72,72,64,72,82,97,72,71,71,72,83,83,126,12826
12,17,0,17,13,19,187,73,0,16,16,18,20,15,14,25,12278,58,9,1946,9,11,10,20,11,831,10,18,10,20,10,11,104,10,14,43,18,193,12772,854,17,25,0,17,42,36,17,11,13,18,16,10,16,15,13726,28,17,11,11,11,21,11,31,54,11,10,10,11,32,32,75,12775
13,5,16,5,7,7,191,61,16,0,4,8,14,3,8,19,12272,62,13,1940,13,15,14,10,15,825,14,6,14,14,14,15,108,14,18,37,6,187,12766,848,11,13,16,5,36,32,13,7,9,12,10,14,10,11,13720,22,5,15,15,15,9,15,25,42,15,14,14,15,26,26,69,12769
14,3,16,3,7,3,191,59,16,4,0,8,14,1,8,19,12272,62,13,1940,13,15,14,10,15,825,14,4,14,14,14,15,108,14,18,37,4,187,12766,848,11,11,16,3,36,32,13,7,9,12,10,14,10,11,13720,22,3,15,15,15,7,15,25,40,15,14,14,15,26,26,69,12769
16,9,18,9,9,11,193,65,18,8,8,0,16,7,10,21,12274,64,15,1942,15,17,16,10,17,827,16,10,16,16,16,17,110,16,20,39,10,189,12768,850,13,17,18,9,38,34,15,9,11,14,12,16,12,13,13722,24,9,17,17,17,13,17,27,46,17,16,16,17,28,28,71,12771
17,15,20,15,11,17,195,71,20,14,14,16,0,13,12,21,12276,66,17,1944,17,19,18,18,19,829,18,16,18,18,18,19,112,18,22,39,16,191,12770,852,13,23,20,15,40,36,17,11,13,14,12,18,12,15,13724,26,15,19,19,19,19,19,29,52,19,18,18,19,30,30,73,12773
18,2,15,2,6,4,190,58,15,3,1,7,13,0,7,18,12271,61,12,1939,12,14,13,9,14,824,13,3,13,13,13,14,107,13,17,36,3,186,12765,847,10,10,15,2,35,31,12,6,8,11,9,13,9,10,13719,21,2,14,14,14,6,14,24,39,14,13,13,14,25,25,68,12768
19,9,14,9,5,11,189,65,14,8,8,10,12,7,0,17,12270,60,11,1938,11,13,12,12,13,823,12,10,12,12,12,13,106,12,16,35,10,179,12764,846,9,17,14,9,34,30,11,5,7,10,8,12,8,9,13718,14,9,13,13,13,13,13,23,46,13,12,12,13,18,18,67,12767
